Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,com.Group11.soulfulplates.services.impl,MenuItemServiceImpl,findMenuById,Long Statement,The length of the statement "MenuItem menuItem=menuItemRepository.findById(menuId).orElseThrow(() -> new EntityNotFoundException("Subcategory not found with id: " + menuId));" is 145.,34
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,OrderServiceImpl,Long Parameter List,The method has 8 parameters. ,34
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,getOrdersForUser,Long Statement,The length of the statement "List<OrdersResponse.OrderData> orderDataList=ordersPage.getContent().stream().map(this::convertToOrderData).collect(Collectors.toList());" is 137.,199
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,convertToOrderData,Complex Method,Cyclomatic complexity of the method is 8,215
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,getOrdersForStore,Long Statement,The length of the statement "List<OrdersResponse.OrderData> orderDataList=ordersPage.getContent().stream().map(this::convertToOrderData).collect(Collectors.toList());" is 137.,304
.,com.Group11.soulfulplates.services.impl,PaymentServiceImpl,filterPayments,Long Statement,The length of the statement "Page<Payment> payments=paymentRepository.findByTransactionUserIdAndStatusOrderByCreatedAtDesc(userId`status`pageRequest);" is 121.,123
.,com.Group11.soulfulplates.services.impl,PaymentServiceImpl,filterPayments,Long Statement,The length of the statement "return new PaymentFilterResponse(transaction.getUser().getId()`payment.getStore().getStoreId()`payment.getAmount()`payment.getOrder().getOrderId()`"12**-****-**61"`transaction.getCardExpiry()`"***"`payment.getStatus()`payment.getPaymentId()`transaction.getTransactionId()`transaction.getStatus()`transaction.getCreatedAt()`transaction.getUpdatedAt());" is 351.,123
.,com.Group11.soulfulplates.services.impl,PaymentServiceImpl,filterSellerPayments,Long Statement,The length of the statement "return new PaymentFilterResponse(transaction.getUser().getId()`payment.getStore().getStoreId()`payment.getAmount()`payment.getOrder().getOrderId()`"12**-****-**61"`transaction.getCardExpiry()`"***"`payment.getStatus()`payment.getPaymentId()`transaction.getTransactionId()`transaction.getStatus()`transaction.getCreatedAt()`transaction.getUpdatedAt());" is 351.,153
.,com.Group11.soulfulplates.services.impl,SubcategoryServiceImpl,findById,Long Statement,The length of the statement "Subcategory subcategory=subcategoryRepository.findById(subCategoryId).orElseThrow(() -> new EntityNotFoundException("Subcategory not found with id: " + subCategoryId));" is 168.,22
.,com.Group11.soulfulplates.services.impl,CategoryServiceImplTest,testGetAllByStoreId,Magic Number,The method contains a magic number: 2,106
.,com.Group11.soulfulplates.services.impl,MenuItemServiceImplTest,findMenuById_nonExistingId,Magic Number,The method contains a magic number: 100L,65
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,setUp,Long Statement,The length of the statement "orderService=new OrderServiceImpl(userRepository`storeRepository`orderRepository`cartItemRepository`menuItemRepository`paymentRepository`categoryRepository`subCategoryRepository);" is 179.,57
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testCreateOrder_SuccessfullyCreated,Magic Number,The method contains a magic number: 2L,72
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testCreateOrder_SuccessfullyCreated,Magic Number,The method contains a magic number: 2,72
