Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
.,com.Group11.soulfulplates.models,ERole,0,0,0,0,1,0,0,0,-1.0,4,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\ERole.java,3
.,com.Group11.soulfulplates.models,MenuItem,13,0,0,0,15,0,0,0,-1.0,7,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\MenuItem.java,10
.,com.Group11.soulfulplates.models,Order,10,0,19,19,69,19,0,0,0.10526315789473684,10,3,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Order.java,9
.,com.Group11.soulfulplates.models,Payment,8,0,17,17,61,17,0,0,0.0,2,3,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Payment.java,16
.,com.Group11.soulfulplates.models,Rating,7,0,14,14,50,14,0,0,0.14285714285714285,4,2,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Rating.java,9
.,com.Group11.soulfulplates.models,Role,2,0,2,2,9,2,0,0,1.0,1,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Role.java,6
.,com.Group11.soulfulplates.models,Store,9,0,15,15,56,15,0,0,0.2,12,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Store.java,9
.,com.Group11.soulfulplates.models,Subcategory,3,0,0,0,5,0,0,0,-1.0,7,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Subcategory.java,10
.,com.Group11.soulfulplates.models,Transaction,9,0,17,17,62,17,0,0,0.0,6,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Transaction.java,10
.,com.Group11.soulfulplates.models,User,13,0,2,2,24,2,0,0,1.0,14,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\User.java,12
